available_bike_stands,day_of_week,surface_pressure,dew_point,temperature
8,6,988.8,5.5,16.9
6,6,988.3,6.3,16.5
9,6,988.4,6.7,13.4
17,6,988.4,6.8,12.1
17,6,988.8,6.0,10.8
19,6,989.4,4.9,9.5
18,6,989.1,4.9,8.7
20,6,988.9,5.1,9.0
20,0,988.6,5.0,8.5
20,0,988.0,5.0,7.9
20,0,987.7,5.1,8.0
20,0,987.9,4.5,8.0
20,0,987.2,4.2,7.8
20,0,987.0,4.2,7.2
20,0,987.2,4.3,7.2
17,0,987.1,3.8,7.8
19,0,986.4,3.8,8.8
18,0,985.7,3.3,9.5
11,0,985.5,3.6,10.6
15,0,985.4,3.4,11.4
19,0,984.7,3.5,12.3
16,0,983.8,3.6,13.0
18,0,983.0,3.8,13.2
17,0,982.7,4.0,12.6
13,0,982.9,3.9,11.4
17,0,983.6,4.1,10.7
20,0,984.1,4.3,10.1
17,0,984.7,4.8,9.8
19,0,985.0,5.6,9.2
20,0,985.7,4.7,8.9
19,0,986.1,3.3,8.7
18,0,986.4,2.5,8.1
17,1,987.1,0.1,7.3
17,1,986.8,-0.9,6.8
17,1,987.3,-1.3,6.1
18,1,988.1,-1.7,5.2
18,1,988.4,-2.2,5.0
18,1,989.1,-2.3,4.6
20,1,989.7,-2.3,4.6
17,1,990.2,-2.6,5.2
18,1,990.5,-3.1,5.8
16,1,990.4,-3.5,6.7
15,1,990.0,-3.2,7.7
18,1,990.1,-2.5,8.5
17,1,989.7,-2.1,8.6
20,1,989.6,-1.8,9.0
20,1,989.7,-1.0,9.1
19,1,990.0,-1.0,8.8
16,1,990.4,-0.6,8.7
16,1,991.0,0.7,7.8
16,1,991.7,0.7,6.9
16,1,992.1,0.6,5.8
13,1,992.7,0.3,5.3
14,1,992.8,0.1,4.7
13,1,992.4,0.1,3.2
17,2,992.6,-0.1,3.0
14,2,992.2,0.1,2.2
14,2,992.2,-0.1,2.0
10,2,992.3,-0.1,2.0
10,2,992.0,-0.1,2.0
8,2,992.2,-1.1,1.1
9,2,992.3,-1.4,1.2
11,2,992.7,0.6,3.4
15,2,992.4,1.4,6.1
20,2,992.3,2.4,9.3
18,2,991.8,4.3,11.8
20,2,991.4,4.7,13.3
20,2,990.8,4.6,14.1
18,2,989.9,4.4,14.8
20,2,989.6,4.6,14.6
7,2,989.5,5.1,14.0
10,2,989.5,4.0,12.9
12,2,989.8,4.2,11.0
10,2,990.1,4.4,9.8
9,2,990.2,3.7,8.9
9,2,990.4,3.5,8.5
7,2,990.4,3.6,7.7
7,2,990.4,3.9,6.7
8,3,989.8,3.7,6.8
8,3,990.2,3.1,5.2
8,3,990.0,2.8,5.4
8,3,989.6,2.5,4.8
6,3,989.4,2.9,2.9
6,3,989.4,2.5,2.5
7,3,989.6,2.8,5.2
3,3,989.5,4.1,9.3
5,3,989.4,5.0,12.5
8,3,989.1,5.0,15.1
9,3,989.3,5.1,16.4
17,3,988.8,5.8,17.5
20,3,988.3,6.7,17.9
17,3,988.0,6.1,16.9
17,3,987.8,7.1,16.1
20,3,987.5,7.9,15.6
19,3,988.1,8.3,14.6
17,3,988.7,8.8,13.0
8,3,988.7,7.7,11.8
6,3,989.0,6.4,11.9
9,3,989.8,6.2,10.2
4,3,989.9,5.4,10.1
4,3,990.3,6.1,11.0
3,4,990.3,5.2,11.1
2,4,990.2,5.7,11.4
2,4,990.2,5.4,10.8
2,4,990.0,5.3,10.6
2,4,989.9,4.8,10.1
3,4,989.6,5.0,10.5
2,4,989.9,5.1,10.5
6,4,989.9,5.6,11.8
17,4,990.6,5.9,13.5
20,4,990.3,4.2,15.5
13,4,989.8,4.1,16.7
1,4,987.2,3.6,18.6
3,4,986.1,1.2,19.2
0,4,985.4,1.7,18.7
14,4,985.1,0.8,18.2
16,4,984.5,4.9,17.0
16,4,984.7,6.2,13.4
20,4,984.7,4.5,11.8
14,4,984.3,4.0,10.8
11,4,983.9,3.3,10.2
8,4,983.4,3.0,9.5
9,4,983.4,3.0,8.0
8,5,982.7,2.8,7.8
8,5,982.1,3.7,7.7
8,5,981.4,4.3,6.9
8,5,980.3,4.9,6.1
8,5,979.9,5.1,6.8
7,5,979.9,5.0,6.3
9,5,979.6,5.5,8.4
8,5,978.5,5.6,10.8
8,5,977.7,5.5,14.2
6,5,976.6,6.0,17.1
7,5,975.7,6.1,17.5
9,5,975.0,5.5,19.1
6,5,974.3,3.4,19.7
6,5,973.5,4.4,19.1
0,5,973.2,4.1,17.9
0,5,973.9,4.8,16.4
2,5,977.0,2.8,8.8
1,5,977.5,3.3,7.0
1,5,979.9,2.5,6.8
1,5,980.2,2.6,6.2
1,5,979.4,2.4,6.0
1,5,979.7,2.7,5.9
1,6,979.5,2.8,4.6
1,6,979.9,2.0,3.5
1,6,979.3,2.1,3.7
1,6,978.9,2.2,3.8
0,6,979.0,2.7,3.9
0,6,978.4,0.6,4.9
0,6,979.0,1.1,4.8
0,6,978.8,1.6,5.9
0,6,979.1,1.8,7.7
0,6,978.6,2.0,9.7
1,6,977.7,1.4,10.9
0,6,977.1,0.2,11.7
1,6,976.2,-2.2,12.5
2,6,975.3,-1.4,12.9
0,6,974.8,-0.9,12.7
3,6,974.9,-0.5,12.0
2,6,975.5,4.1,8.7
1,6,976.8,2.0,5.4
9,6,976.9,2.2,4.7
7,6,977.2,2.3,4.3
12,6,977.1,1.5,3.6
17,6,976.7,1.3,3.2
20,6,977.0,1.1,3.3
20,0,977.1,0.2,2.8
20,0,977.1,-0.2,2.3
20,0,976.9,-0.8,3.1
20,0,977.3,-1.3,3.4
20,0,977.2,-2.2,3.4
20,0,978.3,-1.7,4.3
20,0,978.4,-1.5,6.7
19,0,978.3,-0.0,9.1
20,0,978.2,-1.6,10.8
9,0,978.2,-3.4,12.0
20,0,977.8,-3.8,12.5
17,0,976.7,-4.9,13.8
19,0,976.1,-4.3,14.0
19,0,975.7,-3.5,13.8
19,0,975.4,-3.0,13.4
15,0,975.4,-1.3,11.9
16,0,975.6,0.0,9.7
17,0,975.9,0.3,7.6
15,0,976.0,-1.0,7.4
17,0,975.9,-2.3,7.1
17,0,975.8,-1.3,6.4
17,0,976.2,-0.7,5.8
16,1,976.2,0.2,4.3
16,1,975.9,-2.1,4.5
16,1,975.1,-2.2,3.8
16,1,974.5,-2.6,2.9
17,1,974.1,-2.3,3.1
17,1,973.8,-2.2,3.1
19,1,973.9,-2.2,4.0
16,1,973.8,-1.9,6.7
18,1,973.1,-3.0,13.9
16,1,972.8,-1.5,14.6
16,1,972.0,-1.4,15.2
20,1,971.5,-0.1,15.3
20,1,970.9,0.4,15.9
19,1,970.4,-0.1,15.3
19,1,970.3,-0.6,14.7
20,1,970.4,0.5,13.5
20,1,970.5,-1.6,12.3
17,1,970.4,-0.4,11.4
19,1,970.0,-0.2,11.0
17,1,969.3,2.4,10.3
18,1,969.1,2.6,10.0
19,1,969.2,2.0,10.1
19,2,968.6,2.1,10.0
14,2,968.5,2.3,9.7
14,2,967.9,2.5,9.4
14,2,967.6,2.1,9.7
6,2,967.0,1.8,9.1
5,2,967.0,2.5,8.8
7,2,966.7,1.7,8.9
6,2,966.5,2.1,10.0
4,2,966.9,4.2,11.7
8,2,966.5,4.4,13.0
10,2,965.4,7.0,16.7
12,2,964.3,7.2,17.5
10,2,963.4,7.5,18.1
12,2,962.8,8.4,17.8
9,2,962.2,9.9,16.7
12,2,961.6,11.1,15.1
17,2,961.3,11.8,14.3
14,2,961.1,12.2,13.5
13,2,960.6,10.3,13.9
12,2,960.8,8.8,12.9
13,2,961.0,6.8,11.9
13,2,962.0,5.8,11.8
12,3,961.4,2.1,12.2
12,3,960.8,1.4,11.5
12,3,962.2,0.1,11.0
12,3,963.4,0.3,10.6
12,3,963.9,1.2,10.1
12,3,965.4,2.0,10.4
8,3,966.4,1.7,11.8
12,3,966.9,1.7,13.4
17,3,967.8,2.2,14.6
18,3,968.5,2.0,15.9
19,3,969.9,3.1,15.6
19,3,969.8,4.0,15.2
17,3,970.0,5.2,14.4
19,3,970.2,6.2,12.1
20,3,969.4,6.0,12.2
20,3,969.1,7.2,11.7
20,3,969.3,7.8,10.6
8,3,969.5,8.4,9.9
5,3,971.8,8.2,10.0
7,3,975.0,7.1,9.9
6,3,977.1,3.1,8.5
6,3,977.1,3.8,7.4
7,4,978.4,4.0,6.5
6,4,979.0,4.8,6.1
6,4,979.3,4.7,5.8
6,4,979.7,4.2,5.3
6,4,979.7,3.6,5.1
6,4,980.1,3.4,4.9
0,4,980.3,3.7,5.4
0,4,980.3,4.7,7.3
7,4,980.2,7.2,11.5
12,4,980.1,8.9,15.2
13,4,979.9,7.3,18.5
15,4,979.8,8.1,18.7
10,4,979.7,8.9,18.7
6,4,979.8,9.3,18.8
2,4,979.4,9.7,17.8
5,4,979.6,9.3,17.7
8,4,979.3,9.3,17.4
3,4,978.4,9.6,16.2
14,4,978.4,8.3,16.1
13,4,978.7,7.4,16.5
12,4,979.1,6.7,16.9
13,4,980.2,6.5,16.7
11,4,980.2,7.8,14.8
11,4,980.5,6.7,14.7
11,5,980.4,6.8,14.0
11,5,980.3,6.4,12.1
10,5,980.2,6.8,11.7
12,5,979.7,7.5,10.6
11,5,979.5,7.6,10.7
15,5,979.5,8.0,12.7
14,5,979.9,9.1,14.8
14,5,979.4,10.0,18.5
9,5,978.9,5.4,21.5
9,5,978.6,7.3,21.5
8,5,977.9,8.2,22.0
9,5,977.3,6.3,22.6
12,5,976.4,6.4,22.2
11,5,976.2,7.5,22.1
12,5,975.5,7.4,21.6
7,5,975.4,5.7,20.1
2,5,976.3,4.0,17.1
0,5,975.7,5.9,14.8
7,5,975.7,5.9,14.8
7,5,976.1,6.6,13.8
